,start_date,end_date,url,location,comp_type,divisions,division_type,promoter,promoter_website
15,April 12,,https://www.ifbbpro.com/competition/2025-battle-of-the-bodies/,"Tulsa, OK, United States",IFBB Pro,"[""Women's Figure""]",Open and Masters,Eileen Calabrese,https://npcoklahoma.com/
16,April 12,,https://www.ifbbpro.com/competition/2025-fibo-pro-championships/,"Cologne, Germany",IFBB Pro,"[""Men's Bodybuilding"",""Men's Classic Physique"",""Women's Bikini"",""Women's Figure""]",Open,Jens Thieme & Michael Kohler,
17,April 19,,https://www.ifbbpro.com/competition/2025-st-louis-pro/,"St. Louis, MO, United States",IFBB Pro,"[""Men's Physique"",""Women's Wellness""]",Open,Jack Titone,http://www.npcmidwest.com
18,April 19,,https://www.ifbbpro.com/competition/2025-vancouver-island-showdown-pro/,"Victoria, British ColombiaCanada",IFBB Pro,"[""Women's Bodybuilding"",""Women's Physique"",""Women's Wellness""]",Open,Corey Swiergosz,http://www.influentialSports.com
19,April 19,,https://www.ifbbpro.com/competition/2025-1-bro-bikini-pro-show/,"Maidenhead, , United Kingdom",IFBB Pro,"[""Women's Bikini""]",Open,2 Bros Pros,https://www.2bpevents.com/
20,April 20,,https://www.ifbbpro.com/competition/2025-huanji-china-pro/,"Shanghai, China",IFBB Pro,"[""Men's Physique"",""Women's Bikini""]",Open,George Zhang,https://www.instagram.com/ifbb_huanji_china_pro/
21,April 26,,https://www.ifbbpro.com/competition/2025-wasatch-warrior/,"Salt Lake City, UT, United States",IFBB Pro,"[""Men's Physique"",""Women's Bikini""]",Open and Masters,Robyn Maher,https://thewasatchwarrior.com/
22,April 26,,https://www.ifbbpro.com/competition/2025-los-angles-grand-prix/,"Anaheim, California",IFBB Pro,"[""Men's Physique""]",Open,Tamer El Guindy (USA),https://musclecontest.com/
23,April 26,,https://www.ifbbpro.com/competition/2025-grl-pwr-championships/,"Orlando, Florida",IFBB Pro,"[""Women's Bikini"",""Women's Wellness""]",Open and Masters,Shannon Dey,
24,April 26,,https://www.ifbbpro.com/competition/2025-world-of-monsterzym-korea-pro/,"Seoul, Korea,  Republic of",IFBB Pro,"[""Women's Bikini""]",Open,Sungyeob Steve Kim,https://event.monsterzym.com/
25,May 2,,https://www.ifbbpro.com/competition/2025-emerald-cup-masters/,"Bellevue, WA, United States",IFBB Pro,"[""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Figure"",""Women's Physique"",""Women's Wellness""]",Masters,Ivan Ribic,http://www.ribicproductions.com
26,May 3,,https://www.ifbbpro.com/competition/2025-musclecontest-sao-paulo/,"Sao Paulo, Brazil",IFBB Pro,"[""Men's Physique""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com
27,May 3,,https://www.ifbbpro.com/competition/2025-emerald-cup-natural-pro/,"Bellevue, WA, United States",IFBB Pro,"[""Men's Physique"",""Women's Fitness""]",Natural,Ivan Ribic,http://www.ribicproductions.com
28,May 3,,https://www.ifbbpro.com/competition/2025-florida-grand-prix-masters-pro-2/,"Boca Raton, FL, United States",IFBB Pro,"[""Women's Bikini""]",Masters,Serge Saric,http://www.floridasportfestival.com/
29,May 4,,https://www.ifbbpro.com/competition/2025-ironbeasts-natural-pro/,"Carcavelos, Portugal",IFBB Pro,"[""Men's Classic Physique"",""Men's Physique"",""Women's Bikini""]",Natural,Mr. Big Evolution,https://www.ifbbpro-portugal.pt/
30,May 4,,https://www.ifbbpro.com/competition/2025-california-supplement-spain-pro/,"Alicante, Spain",IFBB Pro,"[""Men's Classic Physique"",""Women's Bikini""]",Open,Emilio Martinez (California Sport House),https://californiasupplementsproshow.com/
31,May 10,,https://www.ifbbpro.com/competition/2025-las-vegas-natural-pro-am/,"Las Vegas, NV, United States",IFBB Pro,"[""Men's Physique"",""Women's Bikini""]",Natural and Masters,Remi Bruyninga,https://lasvegasproam.com/
32,May 10,May 11,https://www.ifbbpro.com/competition/2025-pittsburgh-power-fitness-festival/,"Pittsburgh, Pennsylvania",IFBB Pro,"[""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Figure"",""Women's Physique"",""Women's Wellness""]",Open,Jim Manion,https://www.npcpittsburgh.com/
