competitors_name,country,judging,finals,total,place,competition_type,date,location,url,img_url,competition
Man Chen Wang,Taiwan,34,,34,11,women’s bikini – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Wendy Tsai,Taiwan,35,,35,12,women’s bikini – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Hye Kyeong Hwang,South Korea,39,,39,13,women’s bikini – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Bridget Bailey,Australia,42,,42,14,women’s bikini – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Jule Schwabe,Germany,45,,45,15,women’s bikini – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Taerin Kim,South Korea,48,,48,16,women’s bikini – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Chayapa Marachotisakul,Thailand,48,,48,16,women’s bikini – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Rico Ohara,Japan,48,,48,16,women’s bikini – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Anand Yadav,India,5,,5,1,men’s classic physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Hamid Mehrabani,Iran,10,,10,2,men’s classic physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Saeid Goudarzi,Iran,15,,15,3,men’s classic physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Azamat Karabashev,Russia,20,,20,4,men’s classic physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Jenev Varghese,India,25,,25,5,men’s classic physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Andrei Murashkin,Russia,30,,30,6,men’s classic physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Sajjad Samandar,Iran,35,,35,7,men’s classic physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Piyush Rajput,India,40,,40,8,men’s classic physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Joe Manjoo,South Africa,45,,45,9,men’s classic physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Manoj Patil,India,5,,5,1,men’s physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Amit Agre,India,10,,10,2,men’s physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Anik Ghosh,India,15,,15,3,men’s physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Ravi Pawar,India,20,,20,4,men’s physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Sandeep Sahoo,India,25,,25,5,men’s physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Shubham Kandu,India,30,,30,6,men’s physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Raja Ajith,India,35,,35,7,men’s physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Surojit Dey,India,40,,40,8,men’s physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Gowtham Gowthu,India,45,,45,9,men’s physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Navid Aali,Japan,50,,50,10,men’s physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Pankaj Gajwani,India,55,,55,11,men’s physique – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Ravinder Singh,India,5,,5,1,men’s wheelchair – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Rajesh John,India,10,,10,2,men’s wheelchair – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Anand Arnold,India,15,,15,3,men’s wheelchair – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
