competitors_name,country,judging,finals,total,place,competition_type,date,location,url,img_url,competition
Francisco Martinez,Paraguay,9,,9,3,men’s physique – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
William Amorim,Brazil,12,,12,4,men’s physique – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Everton Ribeiro,Brazil,15,,15,5,men’s physique – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Ignacio Grenziolo,Argentina,18,,18,6,men’s physique – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Mateus Guimaraes,Brazil,21,,21,7,men’s physique – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Maiki Ono,Brazil,24,,24,8,men’s physique – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Lucas Capece,Argentina,27,,27,9,men’s physique – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Thiago Tavares,Brazil,30,,30,10,men’s physique – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Edy Ramz,Colombia,33,,33,11,men’s physique – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Brian Zarate,Argentina,36,,36,12,men’s physique – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Rei Cunha,Brazil,39,,39,13,men’s physique – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Fabian Eduardo Ramirez Rivera,Ecuador,42,,42,14,men’s physique – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Lu Corzo,Argentina,3,,3,1,women’s bikini – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Nivea Campos,Brazil,6,,6,2,women’s bikini – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Mariana Menezes,Brazil,9,,9,3,women’s bikini – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Bruna Toigo,Brazil,12,,12,4,women’s bikini – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Oriana Ailen Canelo,Argentina,15,,15,5,women’s bikini – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Silvana Tagliati,Brazil,18,,18,6,women’s bikini – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Veronica Lourdes Moreno,Argentina,21,,21,7,women’s bikini – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Kathleen Accorsi,Brazil,24,,24,8,women’s bikini – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Lorena Garcia Araya,Chile,27,,27,9,women’s bikini – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Maria Silvina Baronio,Argentina,30,,30,10,women’s bikini – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Ana Carolina Souza,Brazil,33,,33,11,women’s bikini – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Guadalupe Machado,Argentina,36,,36,12,women’s bikini – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Priscila Santana,Brazil,39,,39,13,women’s bikini – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Ivana Robello,Argentina,42,,42,14,women’s bikini – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Natalia Gomez Cabral,Argentina,45,,45,15,women’s bikini – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Ariana Alvarez Rosell,Argentina,48,,48,16,women’s bikini – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Camila Oyhanart,Argentina,48,,48,16,women’s bikini – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Paul Kanu,Sierra Leone,3,,3,1,men’s classic physique – open,2024-12-14,"Schwechat,Austria",https://www.ifbbpro.com/competition/2024-musclecontest-austria/,,2024-musclecontest-austria
Jaime Vergara,Spain,6,,6,2,men’s classic physique – open,2024-12-14,"Schwechat,Austria",https://www.ifbbpro.com/competition/2024-musclecontest-austria/,,2024-musclecontest-austria
Lorenzo Faggi,Italy,9,,9,3,men’s classic physique – open,2024-12-14,"Schwechat,Austria",https://www.ifbbpro.com/competition/2024-musclecontest-austria/,,2024-musclecontest-austria
Patryk Jaskiewicz,Poland,12,,12,4,men’s classic physique – open,2024-12-14,"Schwechat,Austria",https://www.ifbbpro.com/competition/2024-musclecontest-austria/,,2024-musclecontest-austria
Tomas Sentinek,Slovakia,15,,15,5,men’s classic physique – open,2024-12-14,"Schwechat,Austria",https://www.ifbbpro.com/competition/2024-musclecontest-austria/,,2024-musclecontest-austria
Sabir Kazimov,Azerbaijan,18,,18,6,men’s classic physique – open,2024-12-14,"Schwechat,Austria",https://www.ifbbpro.com/competition/2024-musclecontest-austria/,,2024-musclecontest-austria
Manolo Cecili,Italy,21,,21,7,men’s classic physique – open,2024-12-14,"Schwechat,Austria",https://www.ifbbpro.com/competition/2024-musclecontest-austria/,,2024-musclecontest-austria
Emre Ozkaram,Cyprus,24,,24,8,men’s classic physique – open,2024-12-14,"Schwechat,Austria",https://www.ifbbpro.com/competition/2024-musclecontest-austria/,,2024-musclecontest-austria
Luigi Maria De Robertis,Italy,27,,27,9,men’s classic physique – open,2024-12-14,"Schwechat,Austria",https://www.ifbbpro.com/competition/2024-musclecontest-austria/,,2024-musclecontest-austria
Miguel Buglione,Panama,30,,30,10,men’s classic physique – open,2024-12-14,"Schwechat,Austria",https://www.ifbbpro.com/competition/2024-musclecontest-austria/,,2024-musclecontest-austria
Andreia Gadelha,Brazil,3,,3,1,women’s wellness – open,2024-12-07,"Campinas,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-nacional/,,2024-musclecontest-nacional
Viviane Marcucci,Brazil,6,,6,2,women’s wellness – open,2024-12-07,"Campinas,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-nacional/,,2024-musclecontest-nacional
Karol Alves,Brazil,9,,9,3,women’s wellness – open,2024-12-07,"Campinas,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-nacional/,,2024-musclecontest-nacional
Julia Chitarra,Brazil,12,,12,4,women’s wellness – open,2024-12-07,"Campinas,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-nacional/,,2024-musclecontest-nacional
Lexy Oliver,Brazil,15,,15,5,women’s wellness – open,2024-12-07,"Campinas,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-nacional/,,2024-musclecontest-nacional
Josy Alves,Brazil,18,,18,6,women’s wellness – open,2024-12-07,"Campinas,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-nacional/,,2024-musclecontest-nacional
Brenda Karen,Brazil,21,,21,7,women’s wellness – open,2024-12-07,"Campinas,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-nacional/,,2024-musclecontest-nacional
Mariana Takahashi,Brazil,24,,24,8,women’s wellness – open,2024-12-07,"Campinas,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-nacional/,,2024-musclecontest-nacional
Andreia Santos,Brazil,27,,27,9,women’s wellness – open,2024-12-07,"Campinas,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-nacional/,,2024-musclecontest-nacional
Carla Veiga,Argentina,30,,30,10,women’s wellness – open,2024-12-07,"Campinas,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-nacional/,,2024-musclecontest-nacional
Valentina Rodriguez Rodriguez,Uruguay,33,,33,11,women’s wellness – open,2024-12-07,"Campinas,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-nacional/,,2024-musclecontest-nacional
Jessica Wilson,USA,4,,4,1,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Rudie Guerrero,USA,5,,5,2,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Chyna Melton,USA,9,,9,3,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Hope Harper,USA,12,,12,4,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Adriana Izaguirre,USA,16,,16,5,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Nedjie Thompson,USA,18,,18,6,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Judy Son,USA,21,,21,7,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Renata Guimaraes,USA,23,,23,8,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Angela White,USA,26,,26,9,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Nicole Johnson,USA,30,,30,10,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Shaneeka Harmonson,USA,33,,33,11,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Michelle Hurst,USA,37,,37,12,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Marie Blanchard-Bradley,USA,39,,39,13,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Shannyn Creekmore,Canada,42,,42,14,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Zoey Panzarino,USA,44,,44,15,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Lorena Garcia,Chile,47,,47,16,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Merica Abbado,USA,48,,48,16,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Melanie Albinio,USA,48,,48,16,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
L. Dawn Charlton,Bahamas,48,,48,16,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Jennifer Greer,USA,48,,48,16,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Tomo Hashimoto,Japan,48,,48,16,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Shawn Hektor Lewis,USA,48,,48,16,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Huong Mai,USA,48,,48,16,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Nani Nieves,USA,48,,48,16,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Leslie Potts,USA,48,,48,16,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Gina Sardina,USA,48,,48,16,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Aneta Szoltysek,Poland,48,,48,16,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Arisdelsy Cuevas,USA,48,,48,16,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Ashley Scott,USA,48,,48,16,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Stephanie Warden,Canada,48,,48,16,women’s bikini – open,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Renata Guimaraes,USA,3,,3,1,women’s bikini – masters 40+,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Nicole Johnson,USA,6,,6,2,women’s bikini – masters 40+,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Michelle Hurst,USA,9,,9,3,women’s bikini – masters 40+,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Shannyn Creekmore,Canada,12,,12,4,women’s bikini – masters 40+,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Huong Mai,USA,15,,15,5,women’s bikini – masters 40+,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Leslie Potts,USA,18,,18,6,women’s bikini – masters 40+,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Merica Abbado,USA,20,,20,7,women’s bikini – masters 40+,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Aneta Szoltysek,Poland,25,,25,8,women’s bikini – masters 40+,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
L. Dawn Charlton,Bahamas,26,,26,9,women’s bikini – masters 40+,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Gina Sardina,USA,30,,30,10,women’s bikini – masters 40+,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
