Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
California Pro,"Culver City, California, USA","May 24, 2008",Stacy CLARY,USA,48,48,,,,96,17,Figure
California Pro,"Culver City, California, USA","May 24, 2008",Meriza DeGUZMAN,USA,29,36,,,,65,11,Figure
California Pro,"Culver City, California, USA","May 24, 2008",Andrea DUMON,USA,31,26,,,,57,9,Figure
California Pro,"Culver City, California, USA","May 24, 2008",Maria Del Consuelo FIGUEROA,Mexico,48,48,,,,96,17,Figure
California Pro,"Culver City, California, USA","May 24, 2008",April FORTIER,USA,20,17,,,,37,7,Figure
California Pro,"Culver City, California, USA","May 24, 2008",Nancy GEORGES,USA,48,48,,,,96,17,Figure
California Pro,"Culver City, California, USA","May 24, 2008",Leandro Celeste GONZALEZ,Spain,48,48,,,,96,17,Figure
California Pro,"Culver City, California, USA","May 24, 2008",Heather GREEN,USA,16,20,,,,36,6,Figure
California Pro,"Culver City, California, USA","May 24, 2008",Yamanaka KIYOKO,Japan,48,48,,,,96,17,Figure
California Pro,"Culver City, California, USA","May 24, 2008",Anna LARSSON,Sweden,48,48,,,,96,17,Figure
California Pro,"Culver City, California, USA","May 24, 2008",Michele MAYBERRY,USA,32,26,,,,58,10,Figure
California Pro,"Culver City, California, USA","May 24, 2008",Petra MERTL,Czech Republic,46,36,,,,82,14,Figure
California Pro,"Culver City, California, USA","May 24, 2008",Leslie MORRIS,USA,48,48,,,,96,17,Figure
