start_date,end_date,url,location,comp_type,divisions,division_type,promoter,promoter_website,eventName,name
08.06.2024,08.06.2024,https://www.ifbbpro.com/competition/2024-mile-high-pro/,"{'city': 'Denver', 'state': 'CO', 'country': 'United States'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini""]",Open and Masters,Jeff Taylor,https://musclequest.com/,2024 Mile High Pro,Mile High Pro
07.06.2024,09.06.2024,https://www.ifbbpro.com/competition/2024-sheru-classic-india-pro/,"{'city': 'Delhi', 'state': '', 'country': 'India'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,Sheru Aangrish,https://sheruclassic.com/,2024 Sheru Classic India Pro,Sheru Classic India Pro
02.06.2024,02.06.2024,https://www.ifbbpro.com/competition/2024-mid-usa-pro/,"{'city': 'Albuquerque', 'state': 'NM', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique""]",Open,Chris Minnes,https://centerpodium.com/,2024 Mid Usa Pro,Mid Usa Pro
01.06.2024,01.06.2024,https://www.ifbbpro.com/competition/2024-nevada-state-pro/,"{'city': 'Las Vegas', 'state': 'NV', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini""]",Open,Tamer El Guindy (USA),https://musclecontest.com/,2024 Nevada State Pro,Nevada State Pro
01.06.2024,01.06.2024,https://www.ifbbpro.com/competition/2024-miami-muscle-beach-pro/,"{'city': 'Miami', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini"", ""Women's Wellness""]",Open and Masters,Geobanny Paula,https://miamifitexpo.com/,2024 Miami Muscle Beach Pro,Miami Muscle Beach Pro
01.06.2024,01.06.2024,https://www.ifbbpro.com/competition/2024-thailand-pro/,"{'city': 'Pattaya', 'state': '', 'country': 'Thailand'}",IFBB Pro,"[""Men's Physique""]",Open,Moe Elmoussawi (Thailand),https://ifbbproleaguethailand.com/,2024 Thailand Pro,Thailand Pro
26.05.2024,26.05.2024,https://www.ifbbpro.com/competition/2024-korea-agp-pro-2/,"{'city': '', 'state': 'Gyeonggi', 'country': 'South Korea'}",IFBB Pro,"[""Men's Classic Physique""]",Open,,,2024 Korea Agp Pro 2,Korea Agp Pro 2
25.05.2024,25.05.2024,https://www.ifbbpro.com/competition/2024-klash-series-southern-usa-championships-pro/,"{'city': 'Orlando', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini""]",Open and Masters,Joe Pishkula,https://theklash.com/,2024 Klash Series Southern Usa Championships Pro,Klash Series Southern Usa Championships Pro
25.05.2024,25.05.2024,https://www.ifbbpro.com/competition/2024-poland-everest-muscle-show-pro/,"{'city': 'Warsaw', 'state': '', 'country': 'Poland'}",IFBB Pro,"[""Men's Physique"", ""Women's Wellness""]",Open,Robert Piotrkowicz,https://ifbbpro.com.pl/,2024 Poland Everest Muscle Show Pro,Poland Everest Muscle Show Pro
25.05.2024,25.05.2024,https://www.ifbbpro.com/competition/2024-german-classic-pro-show/,"{'city': 'St. Leon-Rot', 'state': '', 'country': 'Germany'}",IFBB Pro,"[""Men's Classic Physique""]",Open,Dennis James,https://www.ifbbproleaguegermany.de/,2024 German Classic Pro Show,German Classic Pro Show
