url,start_date,end_date,location,comp_type,divisions,division_type,promoter,promoter_website,year,eventName,name,name_key
https://www.ifbbpro.com/competition/2025-musclecontest-bullman-pro/,17.05.2025,17.05.2025,"{'city': 'Dublin', 'state': '', 'country': 'Ireland'}",IFBB Pro,"[""Men's Classic Physique""]",Open,Tamer El Guindy,http://www.musclecontestinternational.com,2025,2025_musclecontest_bullman_pro,musclecontest_bullman_pro,musclecontest_bullman
https://www.ifbbpro.com/competition/2025-musclecontest-campinas/,15.03.2025,15.03.2025,"{'city': 'Campinas', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Women's Bikini""]",Open,Tamer El Guindy,http://www.musclecontestinternational.com,2025,2025_musclecontest_campinas,musclecontest_campinas,musclecontest_campinas
https://www.ifbbpro.com/competition/2025-musclecontest-japan/,22.02.2025,22.02.2025,"{'city': 'Tokyo', 'state': '', 'country': 'Japan'}",IFBB Pro,"[""Women's Bikini""]",Open,Tamer El Guindy,http://www.musclecontestinternational.com,2025,2025_musclecontest_japan,musclecontest_japan,musclecontest_japan
https://www.ifbbpro.com/competition/2025-musclecontest-nordeste/,12.04.2025,12.04.2025,"{'city': 'Recife', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Men's Physique""]",Open,Tamer El Guindy,http://www.musclecontestinternational.com,2025,2025_musclecontest_nordeste,musclecontest_nordeste,musclecontest_nordeste
https://www.ifbbpro.com/competition/2025-musclecontest-sao-paulo/,03.05.2025,03.05.2025,"{'city': 'Sao Paulo', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Men's Physique""]",Open,Tamer El Guindy,http://www.musclecontestinternational.com,2025,2025_musclecontest_sao_paulo,musclecontest_sao_paulo,musclecontest_sao_paulo
https://www.ifbbpro.com/competition/2025-nevada-state-championships/,14.06.2025,14.06.2025,"{'city': 'Las Vegas', 'state': 'NV', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini""]",Open,Tamer El Guindy,https://musclecontest.com/,2025,2025_nevada_state_championships,nevada_state_championships,nevada_state_pro
https://www.ifbbpro.com/competition/2025-new-york-pro/,17.05.2025,17.05.2025,"{'city': 'Teaneck', 'state': 'NJ', 'country': 'United States'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Bodybuilding"", ""Women's Figure"", ""Women's Physique"", ""Women's Wellness""]",Open,Steve Weinberger,https://www.bevfrancis.com/npcnortheast/,2025,2025_new_york_pro,new_york_pro,new_york_pro
https://www.ifbbpro.com/competition/2025-oklahoma-classic-pro-am/,07.06.2025,07.06.2025,"{'city': 'Tulsa', 'state': 'OK', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique""]",Open and Masters,Eileen Calabrese,https://npcoklahoma.com/,2025,2025_oklahoma_classic_pro_am,oklahoma_classic_pro_am,oklahoma_classic_pro
https://www.ifbbpro.com/competition/2025-oklahoma-grand-prix-pro/,15.11.2025,15.11.2025,"{'city': 'Oklahoma City', 'state': 'OK', 'country': 'United States'}",IFBB Pro,"[""Women's Wellness""]",Open and Masters,Eileen Calabrese,https://npcoklahoma.com/,2025,2025_oklahoma_grand_prix_pro,oklahoma_grand_prix_pro,oklahoma_grand_prix
https://www.ifbbpro.com/competition/2025-oklahoma-showdown-of-champions-pro/,13.09.2025,13.09.2025,"{'city': 'Tulsa', 'state': 'OK', 'country': 'United States'}",IFBB Pro,"[""Women's Fitness""]",Open and Masters,Eileen Calabrese,https://npcoklahoma.com/,2025,2025_oklahoma_showdown_of_champions_pro,oklahoma_showdown_of_champions_pro,oklahoma_showdown_of_champions
